Format,OpenTRACK,,,,,,
Name,Portaria,,,,,,
Country,Greece,,,,,,
City,Volos,,,,,,
Type,Hillclimb,,,,,,
Config,Open,,,,,,
Direction,Forward,,,,,,
Mirror,On,,,,,,
Export Frequency,20,Hz,,,,,
,,,,,,,
Distance,Speed,Yaw Velocity,Lateral Acceleration,Elevation,Banking,Grip Factor,Sector
km,km/h,deg/s,G,m,deg,,
,,,,,,,
0.821,83.124001,26.61265,1.087069,416,0,1,1
0.823,84.360001,26.022274,1.069906,416,0,1,1
0.826,85.538002,24.947863,1.035471,416,0,1,1
0.828,86.975998,23.066727,0.969986,416,0,1,1
0.831,88.559998,20.272528,0.867218,416,0,1,1
0.833,90.238998,16.741962,0.732666,416,0,1,1
0.836,92.130005,12.76403,0.573081,416,0,1,1
0.838,94.306,8.613295,0.397039,416.730011,0,1,1
0.841,96.040001,4.556983,0.215237,417,0,1,1
0.844,97.414001,0.81534,0.039986,417,0,1,1
0.847,98.672005,-2.630887,-0.126508,417,0,1,1
0.85,99.656006,-5.717754,-0.278841,417.839996,0,1,1
0.853,100.408997,-8.440221,-0.414648,418,0,1,1
0.855,101.220001,-10.674526,-0.52783,418,0,1,1
0.858,101.764999,-12.398671,-0.617961,418,0,1,1
0.861,102.472,-13.722662,-0.688793,418,0,1,1
0.864,103.292,-14.61258,-0.74134,418.98999,0,1,1
0.867,104.32,-15.175226,-0.777317,419,0,1,1
0.87,105.355003,-15.378511,-0.798597,419,0,1,1
0.873,106.477005,-15.397074,-0.811891,419,0,1,1
0.876,107.610001,-15.345279,-0.82017,419,0,1,1
0.879,108.755997,-15.247876,-0.825747,419,0,1,1
0.883,109.960007,-15.12618,-0.828621,419,0,1,1
0.886,110.952003,-14.97148,-0.82843,419.190002,0,1,1
0.889,111.797997,-14.748944,-0.82365,420,0,1,1
0.892,112.699997,-14.47782,-0.814817,420,0,1,1
0.895,113.524002,-14.164527,-0.802644,420,0,1,1
0.899,114.286003,-13.855359,-0.790305,420,0,1,1
0.902,114.931,-13.651157,-0.782638,420.329987,0,1,1
0.905,115.543999,-13.606237,-0.782734,421,0,1,1
0.909,115.917,-13.671326,-0.788164,421,0,1,1
0.912,116.225998,-13.775374,-0.796577,421,0,1,1
0.915,116.489998,-13.97591,-0.809495,421,0,1,1
0.919,116.695999,-14.271785,-0.827525,421.480011,0,1,1
0.922,117.412003,-14.975835,-0.867358,422,0,1,1
0.925,119.242004,-16.022285,-0.93044,422,0,1,1
